Word,Frequency
barbara,7
order,7
kicked,7
observed,7
keys,7
suspect,7
gang,7
weapons,7
chester,7
previous,7
field,7
lying,7
wilson,7
involved,7
part,7
brian,7
machine,7
bullets,7
sheriff,7
identify,7
close,7
salazar,7
morris,7
intruders,7
closet,7
hudson,7
carrier,7
lured,7
change,7
sexual,7
exchange,7
roach,7
lounge,7
mary,7
butcher,7
service,7
robbers,7
clothes,7
william,7
shannon,7
wanted,7
written,7
shared,7
earl,7
livingston,7
stanley,7
short,7
miniel,7
rd,7
mr,7
rings,7
qgan,7
since,7
willians,7
paris,7
gary,7
dean,7
koslow,7
farris,7
feb,7
penalty,7
counts,7
mann,7
hogue,7
stewart,7
demouchette,7
starvaggi,7
oakley,7
mccoy,7
foundin,6
skull,6
el,6
paso,6
slaving,6
doyle,6
aunt,6
lawrence,6
larry,6
wearing,6
pm,6
walking,6
hone,6
ramos,6
z,6
returning,6
job,6
lo,6
moved,6
asian,6
phone,6
got,6
threw,6
severely,6
apparently,6
ring,6
sat,6
noticed,6
standing,6
early,6
able,6
memorial,6
shoqting,6
building,6
cases,6
coleman,6
canada,6
bat,6
equipment,6
apprehended,6
boots,6
carrying,6
amusement,6
fatal,6
girls,6
commit,6
due,6
george,6
ray,6
gasoline,6
taylor,6
revealed,6
tire,6
country,6
strangling,6
personal,6
argued,6
criminal,6
number,6
jennifer,6
ertman,6
pena,6
belt,6
committing,6
previously,6
employees,6
show,6
butler,6
rope,6
juvenile,6
moody,6
monthold,6
ashley,6
traced,6
coat,6
wright,6
fourth,6
video,6
waited,6
chamberlain,6
sale,6
claimed,6
highway,6
reyes,6
counter,6
take,6
dennis,6
spree,6
moore,6
helen,6
pay,6
crack,6
checks,6
carried,6
joe,6
heart,6
subdivision,6
rock,6
disappearance,6
effort,6
eight,6
bm,6
bloodstained,6
surrendered,6
simmons,6
plastic,6
wood,6
humphreys,6
tucker,6
theft,6
cruz,6
watch,6
mason,6
sept,6
robison,6
rogers,6
appeals,6
lamb,6
row,6
walsh,6
markham,6
judge,6
closing,6
granviel,6
hammond,6
urdiales,6
stearns,6
edwards,5
choked,5
ofa,5
removed,5
drowned,5
jose,5
tovar,5
others,5
loaded,5
highspeed,5
ofhis,5
occurred,5
deceased,5
occupied,5
violation,5
paroled,5
knocked,5
pushed,5
pursued,5
finally,5
braziel,5
community,5
bathroom,5
mouth,5
bathtub,5
object,5
week,5
hour,5
collect,5
scheme,5
pipe,5
enforcement,5
point,5
sex,5
plano,5
arrival,5
fight,5
nightclub,5
gas,5
ordered,5
mexican,5
partner,5
uncle,5
staying,5
metal,5
group,5
covered,5
eventually,5
basso,5
southwest,5
tamayo,5
blocks,5
residents,5
looking,5
grandmother,5
arthur,5
member,5
pointed,5
northwest,5
lewis,5
responded,5
alive,5
hughes,5
tool,5
gold,5
foster,5
ward,5
wash,5
placing,5
rural,5
persons,5
law,5
crushed,5
roommate,5
charge,5
assailant,5
murderof,5
hewas,5
vcr,5
chased,5
huntsville,5
bullet,5
exgirlfriend,5
reed,5
waco,5
followed,5
range,5
sawedoff,5
find,5
shirt,5
run,5
upstairs,5
awoke,5
hid,5
martha,5
broadway,5
asleep,5
belonging,5
ransacked,5
small,5
assaulting,5
sonnier,5
resident,5
theback,5
disposition,5
immediately,5
conner,5
flee,5
mccormick,5
griffith,5
wedding,5
undetermined,5
miller,5
kenneth,5
grenados,5
abilene,5
afire,5
trash,5
beneath,5
knew,5
decided,5
resisted,5
davidson,5
public,5
shol,5
qn,5
porter,5
bloody,5
pillow,5
mcwilliams,5
pleaded,5
morrow,5
fell,5
failed,5
companion,5
kelley,5
pistoland,5
louis,5
patterson,5
assistant,5
attorney,5
implicated,5
matthews,5
killer,5
camera,5
jeans,5
morales,5
dunn,5
summary,5
east,5
riddle,5
king,5
shamburger,5
bakers,5
walker,5
sisters,5
wayne,5
ms,5
