Bigram,Frequency
"('love', 'appreciate')",6
"('sorry', 'forgive')",6
"('hope', 'get')",6
"('family', 'members')",6
"('sorry', 'dont')",6
"('yall', 'stay')",6
"('love', 'brother')",6
"('name', 'thy')",6
"('thy', 'kingdom')",6
"('kingdom', 'come')",6
"('come', 'thy')",6
"('done', 'earth')",6
"('earth', 'heaven')",6
"('heaven', 'give')",6
"('us', 'day')",6
"('day', 'daily')",6
"('daily', 'bread')",6
"('bread', 'forgive')",6
"('lead', 'us')",6
"('us', 'temptation')",6
"('temptation', 'deliver')",6
"('always', 'love')",6
"('know', 'truth')",6
"('ive', 'got')",6
"('love', 'never')",6
"('must', 'continue')",6
"('say', 'want')",6
"('move', 'forward')",6
"('want', 'yall')",6
"('done', 'pain')",5
"('pain', 'ive')",5
"('caused', 'pain')",5
"('yall', 'peace')",5
"('yall', 'keep')",5
"('please', 'find')",5
"('warden', 'would')",5
"('thank', 'people')",5
"('give', 'back')",5
"('forgive', 'one')",5
"('guys', 'love')",5
"('continue', 'fight')",5
"('thats', 'got')",5
"('know', 'else')",5
"('hope', 'bring')",5
"('truth', 'come')",5
"('sorry', 'im')",5
"('theres', 'nothing')",5
"('want', 'make')",5
"('yall', 'side')",5
"('thank', 'yall')",5
"('yall', 'forgive')",5
"('last', 'statement')",5
"('god', 'knows')",5
"('get', 'life')",5
"('life', 'right')",5
"('family', 'pray')",5
"('going', 'say')",5
"('warden', 'thank')",5
"('grief', 'caused')",5
"('didnt', 'know')",5
"('jesus', 'love')",5
"('going', 'go')",5
"('forgive', 'dont')",5
"('love', 'like')",5
"('thats', 'yes')",5
"('forgive', 'please')",5
"('hearts', 'forgive')",5
"('tell', 'kids')",5
"('made', 'peace')",5
"('people', 'love')",5
"('like', 'ask')",5
"('lord', 'take')",5
"('love', 'warden')",5
"('daughter', 'love')",5
"('much', 'thank')",5
"('love', 'hope')",5
"('love', 'jesus')",5
"('jesus', 'name')",5
"('name', 'pray')",5
"('forgive', 'love')",5
