Word,Frequency
line,5
proceed,5
chief,5
born,5
thomas,5
stood,5
clear,5
scott,5
explain,5
behalf,5
cox,5
reverend,5
prayed,5
daughters,5
guilt,5
grandmother,5
fact,5
deal,5
murdering,5
saw,5
perfect,5
keeping,5
helping,5
seeing,5
solve,5
nephews,5
type,5
blame,5
road,5
asking,5
crying,5
drug,5
testimony,5
smile,5
forced,5
shepherd,5
green,5
leadeth,5
waters,5
presence,5
tears,5
beat,5
shine,5
hallowed,5
hello,5
aunt,5
lied,5
receive,5
prophet,5
prosecutor,5
chris,5
bury,5
gets,5
light,5
poem,5
roll,5
folks,5
due,5
personal,5
richard,5
victory,5
walsh,5
suffered,5
protect,5
eye,5
moratorium,5
happens,5
sooner,5
deeply,5
theyve,5
public,5
wait,5
maam,4
guards,4
lift,4
ministers,4
sing,4
song,4
accepted,4
became,4
moments,4
changes,4
across,4
suicide,4
patricia,4
become,4
wouldve,4
shared,4
occurred,4
sylvia,4
including,4
deep,4
gurney,4
murdered,4
broken,4
sincerely,4
righteous,4
open,4
facts,4
filled,4
denied,4
kindness,4
eternity,4
minister,4
fought,4
inmate,4
small,4
bible,4
five,4
voice,4
hug,4
money,4
sky,4
saving,4
forgiving,4
wheres,4
white,4
along,4
mexican,4
steve,4
maurie,4
foremost,4
johnson,4
maybe,4
“,4
randy,4
cousins,4
beyond,4
alone,4
joanna,4
sons,4
brad,4
michelle,4
least,4
bro,4
verbal,4
letting,4
careful,4
christian,4
accident,4
weve,4
wouldnt,4
relief,4
example,4
demand,4
lies,4
youll,4
susan,4
murders,4
pop,4
humanity,4
feelings,4
connie,4
truck,4
killer,4
laura,4
couple,4
bill,4
spent,4
sinner,4
leaving,4
miracle,4
hallelujah,4
monster,4
sincere,4
heartache,4
beginning,4
gary,4
thinking,4
whiteside,4
pastures,4
paths,4
yea,4
valley,4
shadow,4
preparest,4
table,4
oil,4
cup,4
runneth,4
shed,4
carlos,4
veins,4
dog,4
trespasses,4
trespass,4
thine,4
execute,4
disappointed,4
upset,4
wilcox,4
dungeon,4
within,4
says,4
singing,4
gomez,4
veronica,4
book,4
defense,4
bringing,4
paul,4
adams,4
ran,4
late,4
high,4
breath,4
uncle,4
phone,4
spoke,4
animosity,4
arms,4
met,4
losing,4
charge,4
jury,4
supreme,4
video,4
profanity,4
chapter,4
forgives,4
sides,4
several,4
goodness,4
dwell,4
minutes,4
rock,4
rights,4
ta,4
shoot,4
rosalyn,4
greatest,4
gift,4
gotten,4
cost,4
important,4
car,4
although,4
released,4
smiling,4
bottom,4
appeals,4
eardmann,4
executing,4
knowledge,4
lords,4
cross,4
tongues,4
sometime,4
divine,4
em,4
liberation,4
necessary,4
genocide,4
deceased,4
laugh,4
rejoice,4
woe,4
mindy,4
pinkerton,4
administration,3
walls,3
yalls,3
beings,3
pat,3
pen,3
inside,3
worst,3
possible,3
judicial,3
owe,3
penal,3
hazelwood,3
believing,3
compassion,3
beg,3
four,3
figure,3
fix,3
kid,3
ashamed,3
cried,3
delivers,3
lack,3
